source,author,title,description,url,publishedAt,content
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures slide with Wall Street awaiting expected Fed rate cut",US stock futures were steady ahead of the Federal Reserve's mid-week announcement on interest rates.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-steady-with-wall-street-awaiting-expected-fed-rate-cut-001431032.html,2025-12-08T00:14:31Z,"US stock futures held steady Sunday evening as Wall Street heads into a pivotal week dominated by the Federal Reserve's final policy meeting of 2025.
Futures tied to the Dow Jones Industrial Average… [+1388 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures climb with Wall Street awaiting expected Fed rate cut",US stock futures were steady ahead of the Federal Reserve's mid-week announcement on interest rates.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-climb-with-wall-street-awaiting-expected-fed-rate-cut-001431192.html,2025-12-08T00:14:31Z,"US stock futures rose Monday morning as Wall Street heads into a pivotal week dominated by the Federal Reserve's final policy meeting of 2025.
Futures tied to the Dow Jones Industrial Average (YM=F)… [+1413 chars]"
TheStreet,Noah Weidner,"Stock Market Today: Russell 2000, Nasdaq Decline After Strong Start to Trading Week","This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here...",https://www.thestreet.com/latest-news/stock-market-today-russell-2000-opens-higher-to-start-week-as-nasdaq-tech-continue-to-lag,2025-12-15T17:53:17Z,"This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here.
Happy Monday. This is TheStreets Stock … [+7598 chars]"
TheStreet,Noah Weidner,"Stock Market Today: Oracle Credit Controversy Causes Tech Selloff, Sending Nasdaq and Russell 2000 Spiraling","This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here...",https://www.thestreet.com/latest-news/stock-market-today-russell-2000-reverses-yesterdays-losses-sp-500-looks-to-snap-three-day-skid,2025-12-17T17:50:07Z,"This live blog is refreshed periodically throughout the day with the latest updates from the market.To find the latest Stock Market Today threads, click here.
Happy Wednesday. This is TheStreets Sto… [+6496 chars]"
TheStreet,Moz Farooque,Jim Cramer drops blunt call on Nvidia stock,"AI bellwether Nvidia’s (NVDA) stock has shed nearly $200 billion in market cap (4.71% drop) in just the past week, making it a fresh target for nervous...",https://www.thestreet.com/investing/stocks/jim-cramer-drops-blunt-call-on-nvidia-stock,2025-11-26T18:47:00Z,"AI bellwether Nvidias (NVDA) stock has shed nearly $200 billion in market cap (4.71% drop) in just the past week, making it a fresh target for nervous traders.
Its just the steep reversal that has e… [+5071 chars]"
Kotaku,Kotaku Deals,"Bose Held Back During Black Friday, Now Crashes Headphones to Record Low to Empty Final Stock","Among the best ANC headphones on the market.
The post Bose Held Back During Black Friday, Now Crashes Headphones to Record Low to Empty Final Stock appeared first on Kotaku.",https://kotaku.com/bose-held-back-during-black-friday-now-crashes-headphones-to-record-low-to-empty-final-stock-2000648922,2025-11-30T15:50:56Z,"Bose surprised shoppers who thought Black Friday deals were over by dropping the price of its QuietComfort noise cancelling headphones to an all-time low on Cyber Monday, and this makes it much easie… [+2984 chars]"
Kotaku,Kotaku Deals,"Apple Stuck With Too Many AirPods Pro 3, Now Selling Newest Earbuds at All-Time Low to Clear Stock","Simply the best earbuds on the market in 2025.
The post Apple Stuck With Too Many AirPods Pro 3, Now Selling Newest Earbuds at All-Time Low to Clear Stock appeared first on Kotaku.",https://kotaku.com/apple-stuck-with-too-many-airpods-pro-3-now-selling-newest-earbuds-at-all-time-low-to-clear-stock-2000648166,2025-11-28T00:35:36Z,"This year marks a turning point in Apple’s historically rigid pricing strategy where discounts remained rare and controlled. At $219, down from $249, the AirPods Pro 3 that launched just months ago j… [+3163 chars]"
Kotaku,Kotaku Deals,"Portable Gaming Monitor (FHD, 15″, IPS) Hits Rock Bottom, Amazon Offloads Stock at New Record Low","This is one of the best portable monitors available on the market.
The post Portable Gaming Monitor (FHD, 15″, IPS) Hits Rock Bottom, Amazon Offloads Stock at New Record Low appeared first on Kotaku.",https://kotaku.com/portable-gaming-monitor-fhd-15-ips-hits-rock-bottom-amazon-offloads-stock-at-new-record-low-2000648418,2025-11-28T16:05:03Z,"Portable monitors solve specific problems that laptops and tablets cannot address alone, particularly for gaming scenarios where you want larger screen real estate without lugging full-size displays.… [+3507 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures inch up after tech's biggest rally since May",Markets are muted after a strong start to the week as investors take stock of a Fed-fuelled rebound.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-inch-up-after-techs-biggest-rally-since-may-235115106.html,2025-11-24T23:51:15Z,"US stock futures hovered near the flatline Monday night as Wall Street looked to build on a broad tech-led rebound amid growing optimism that the Federal Reserve may deliver a rate cut next month.
F… [+1387 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures inch down after tech's biggest rally since May",Markets are muted after a strong start to the week as investors take stock of a Fed-fuelled rebound.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-inch-down-after-techs-biggest-rally-since-may-235115825.html,2025-11-24T23:51:15Z,"US stock futures hovered near the flatline Monday night as Wall Street looked to build on a broad tech-led rebound amid growing optimism that the Federal Reserve may deliver a rate cut next month.
F… [+1369 chars]"
Yahoo Entertainment,Yahoo Finance Video,Wall Street today & 1929 crash: Why this expert sees parallels,"There are some similarities between today's stock market (^DJI, ^GSPC, ^IXIC) and the time before Wall Street's worst crash, 1929's Black Tuesday, according ...",https://finance.yahoo.com/video/wall-street-today-1929-crash-193000880.html,2025-12-15T19:30:00Z,"Joining us now, Andrew Ross Sorkin, New York Times columnist and author of 1929 inside the greatest crash in Wall Street history, 
and how it shattered a nation. And and Andrew, I bring up what's be… [+4555 chars]"
Barron's,"Giulia Petroni, Dow Jones Newswires",Gold Headed for Weekly Gain on U.S. Rate-Cut Bets,"The Dow, S&P 500, and Nasdaq are rising in premarket trading as the stock market bets on Fed rates cuts and the tech rally rolls on.",https://www.barrons.com/livecoverage/stock-market-news-today-121925,2025-12-19T10:30:12Z,"Gold prices slipped in early trading on a firmer dollar, but remain on track for a weekly gain after a lower-than-expected U.S. inflation print reinforced expectations of further rate cuts.
New York… [+257 chars]"
Yahoo Entertainment,Simply Wall St,3 Dividend Stocks To Consider With Yields Up To 7.7%,"As the U.S. stock market enjoys a strong rally ahead of the Thanksgiving break, with major indexes on track for their best week since June, investors are...",https://finance.yahoo.com/news/3-dividend-stocks-consider-yields-113139174.html,2025-11-28T11:31:39Z,"As the U.S. stock market enjoys a strong rally ahead of the Thanksgiving break, with major indexes on track for their best week since June, investors are increasingly looking at dividend stocks as a … [+4844 chars]"
Yahoo Entertainment,Anthony Lee,Why IBM (IBM) Stock Is Up Today,Shares of technology and consulting giant IBM (NYSE:IBM) jumped 2.8% in the afternoon session after renewed enthusiasm for Alphabet reinvigorated the...,https://finance.yahoo.com/news/why-ibm-ibm-stock-today-235049835.html,2025-11-24T23:50:49Z,"Shares of technology and consulting giant IBM (NYSE:IBM) jumped 2.8% in the afternoon session after renewed enthusiasm for Alphabet reinvigorated the artificial intelligence trade, propelling a marke… [+2322 chars]"
Slashdot.org,msmash,"World-Beating 55,000% Surge in India AI Stock Fuels Bubble Fears","The world's best-performing stock is turning into a cautionary tale for investors chasing outsized returns from the AI boom. From a report: Little-known until recently even within its home market of India, RRP Semiconductor Ltd. became a social-media obsessio…",https://tech.slashdot.org/story/25/12/18/1537226/world-beating-55000-surge-in-india-ai-stock-fuels-bubble-fears,2025-12-18T16:05:00Z,"Little-known until recently even within its home market of India, RRP Semiconductor Ltd. became a social-media obsession as its shares surged more than 55,000% in the 20 months through Dec. 17 -- by … [+982 chars]"
Yahoo Entertainment,Karen Friar,"Stock market today: Dow, S&P 500 slip as unemployment rate rises, Tesla marches toward record","Investors reacted to the delayed release of the November jobs report, seen as pivotal to the path of interest rates next year.",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-slip-as-unemployment-rate-rises-tesla-marches-toward-record-202215883.html,2025-12-16T20:22:15Z,"Crude oil prices fell to levels not seen since the doldrums of the pandemic at the start of 2021, as a widely expected supply glut picked up momentum and peace talks in the Russia-Ukraine conflict to… [+2184 chars]"
Yahoo Entertainment,,Should Retirees Pull Their Money Out of the Stock Market in 2026?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0fbcffa6-4e4c-4ba2-9e35-3cfb8648b423,2025-12-21T09:50:00Z,"If you click 'Accept all', we and our partners, including 242 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures climb as key ADP jobs data looms",Key jobs data looms as one of the final potential catalysts ahead of the Federal Reserve's interest rate move.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-climb-as-key-adp-jobs-data-looms-000151956.html,2025-12-03T00:01:51Z,"Stock futures edged higher Tuesday evening as Wall Street aimed to maintain momentum on a modest rebound from Monday's streak-breaking sell-off, with key jobs data looming as one of the final potenti… [+1705 chars]"
Yahoo Entertainment,Ines Ferré,"Bitcoin rises above $90,000 as cryptocurrency attempts recovery amid stock market gains",Bitcoin has struggled to bounce back meaningfully despite a price uptick on Wednesday.,https://finance.yahoo.com/news/bitcoin-rises-above-90000-as-cryptocurrency-attempts-recovery-amid-stock-market-gains-193405385.html,2025-11-26T19:34:05Z,"Bitcoin (BTC-USD) rose above $90,000 on Wednesday, but some strategists warned the price action isn't necessarily a sign of a meaningful V-shaped recovery despite a risk-on mood in the stock market.… [+3504 chars]"
Yahoo Entertainment,,"Stock market today: Nasdaq, S&P 500 rally as Nvidia, Tesla, Google lead Big Tech surge",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_eded1768-3e25-4301-bd90-639627b4ece6,2025-11-23T23:47:18Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq sink, bitcoin plummets in downbeat start to December",Wall Street's strong late-November rebound looks set to hit a speed bump on the first trading day of December.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-sink-bitcoin-plummets-in-downbeat-start-to-december-011408608.html,2025-12-01T01:14:08Z,"Bitcoin (BTC-USD) tumbled more than 7% on Monday, along with crypto-related stocks, casting doubt on a year-end rally despite growing prospects of a Federal Reserve interest rate cut.
The world's la… [+1511 chars]"
Yahoo Entertainment,,Prediction: This Hypergrowth AI Stock Will Finish 2026 With the Largest Market Cap in the World,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4eab8934-7814-4842-98d1-94b580e7ddd6,2025-12-16T21:23:00Z,"If you click 'Accept all', we and our partners, including 242 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures plummet after Fed decision as Oracle sinks after earnings",US stock futures were inconsistent across the major gauges as the Fed rate cut and Oracle's significant loss dragged the needle in different directions.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-plummet-after-fed-decision-as-oracle-sinks-after-earnings-233526664.html,2025-12-10T23:35:26Z,"US stock futures fell Wednesday night as investors evaluated the Federal Reserves latest rate cut, which helped fuel a late-day rally on Wall Street.
Dow Jones Industrial Average futures (YM=F) edge… [+1414 chars]"
Business Insider,wedwards@businessinsider.com (William Edwards),2 under-the-radar AI stock picks from a fund manager beating 99% of peers over the last 5 years,Ryan Kelley has beaten 99% of peers over the last five years managing two funds. Here are his top under-the-radar names in the AI trade.,https://www.businessinsider.com/ai-stock-picks-investment-manager-etf-tech-sanm-dy-2025-12,2025-12-02T10:15:01Z,"When Ryan Kelley, the chief investment officer of Hennessy Funds, doles out a couple of stock picks, it's probably a good idea to hear him out. According to Morningstar data, Kelley has beaten 99% of… [+1896 chars]"
TheStreet,Moz Farooque,This defense-AI stock is up 50 percent in 6 months: It’s not Palantir,"Defense AI has been perhaps the hottest corner of the market this year, and though Palantir (PLTR) dominates proceedings in the space, another tiny player...",https://www.thestreet.com/investing/stocks/this-defense-ai-stock-is-up-50-percent-in-6-months-its-not-palantir,2025-12-01T20:13:00Z,"Defense AI has been perhaps the hottest corner of the market this year, and though Palantir (PLTR) dominates proceedings in the space, another tiny player has been notching eye-popping gains.
BigBea… [+6157 chars]"
Yahoo Entertainment,Aparajita Dutta,Buy These 5 Dividend Growth Stocks as Wall Street Rebounds,Dividend growers like NTES and LRCX emerge as defensive standouts as Wall Street rebounds and investors seek stability amid market uncertainty.,https://finance.yahoo.com/news/buy-5-dividend-growth-stocks-125100621.html,2025-11-24T12:51:00Z,"Wall Street rebounded on Nov. 21, 2025, with all three major stock indices rising almost 1% after delivering a dismal weekly performance. The rebound was primarily backed by investor optimism surroun… [+7379 chars]"
Yahoo Entertainment,Yahoo Finance Video,"Stocks rise, Trump healthcare plan, Thanksgiving travel: 3 Things","US stock futures (ES=F, NQ=F, YM=F) are rising in Monday's pre-market trading, attempting to stage a comeback rally from last week's losses as Wall Street...",https://finance.yahoo.com/video/stocks-rise-trump-healthcare-plan-141059695.html,2025-11-24T14:10:59Z,"Let's get to the three things you need to know today. First up, US stock futures holding on to gains this morning. 
That's after a drop of more than 2% last week for the S&amp;P 500 and Nasdaq, desp… [+1582 chars]"
Yahoo Entertainment,Simply Wall St,3 Stocks That Might Be Undervalued By Up To 31.8% According To Estimates,"As the U.S. stock market experiences a strong rebound, with major indexes like the Dow Jones and S&P 500 poised for their best week since June, investors are...",https://finance.yahoo.com/news/3-stocks-might-undervalued-31-173804090.html,2025-11-28T17:38:04Z,"As the U.S. stock market experiences a strong rebound, with major indexes like the Dow Jones and S&amp;P 500 poised for their best week since June, investors are keenly eyeing opportunities amid this… [+5272 chars]"
The Verge,Elizabeth Lopatto,Larry Ellison’s big dumb gift to his large adult son,"Media is a business about dreams, and Larry Ellison's son is dreaming big. This might explain why the case for Paramount Skydance to buy Warner Bros. Discovery is so incoherent. In October, Warner Bros. put itself up for sale, leading to a number of bids. The…",https://www.theverge.com/entertainment/845532/larry-ellison-paramount-wb-netflix-takeover-oracle,2025-12-16T18:25:17Z,"<ul><li></li><li></li><li></li></ul>
Larry Ellisons big dumb gift to his large adult son
A plan so astonishingly dumb, even Warner Bros. doesnt believe itll happen.
by
Elizabeth LopattoClose
Eli… [+12778 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq rise as weak ADP jobs data reinforces growing Fed rate cut bets",Doubts over AI demand put pressure on tech and a surprise fall in private-sector employment revealed cracks in the job market.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-rise-as-weak-adp-jobs-data-reinforces-growing-fed-rate-cut-bets-210358240.html,2025-12-03T21:03:58Z,"US stocks edged up on Wednesday as a surprise decline in private-sector employment revealed cracks in the job market, but also reinforced bets on a Fed rate cut next week.
The Dow Jones Industrial A… [+15161 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq rise as surprise ADP jobs decline reinforces Fed rate cut bets",Doubts over AI demand put pressure on tech and a surprise fall in private-sector employment revealed cracks in the job market.,https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-rise-as-surprise-adp-jobs-decline-reinforces-fed-rate-cut-bets-000151602.html,2025-12-03T00:01:51Z,"US stocks shook off early losses on Wednesday as a surprise decline in private-sector employment revealed cracks in the job market, but also reinforced bets on a Fed rate cut next week.
The Dow Jone… [+14393 chars]"
TheStreet,Moz Farooque,Morgan Stanley drops eye-popping price target on Nvidia stock,"Nvidia (NVDA) stock has clearly been Wall Street’s biggest AI winner, but Morgan Stanley feels it has much more room to run. Analyst Joe Moore just bumped...",https://www.thestreet.com/investing/stocks/morgan-stanley-drops-eye-popping-price-target-on-nvidia-stock,2025-12-03T22:33:00Z,"Nvidia (NVDA) stock has clearly been Wall Streets biggest AI winner, but Morgan Stanley feels it has much more room to run.
Analyst Joe Moore just bumped his price target from $250 to $235, a massiv… [+4931 chars]"
Gizmodo.com,AJ Dellinger,Wall Street Sphincters Tighten as Oracle Delays Its OpenAI Data Center Buildout,"When the bubble pops, you can't say there weren't signs.",https://gizmodo.com/wall-street-sphincters-tighten-as-oracle-delays-its-openai-data-center-buildout-2000699248,2025-12-12T21:10:38Z,"It turns out infinite growth might not actually be possible. On Friday, Bloomberg reported that Oracle will be delaying some of its data center projects for OpenAI for at least a year due to labor an… [+2692 chars]"
Slashdot.org,BeauHD,Michael and Susan Dell Donate $6.25 Billion To Encourage Families To Claim 'Trump Accounts',"Michael and Susan Dell pledged $6.25 billion to boost participation in the new ""Trump Accounts"" child investment program. ""The historic gift has little precedent, with few single charitable commitments in the past 25 years exceeding $1 billion, much less mult…",https://politics.slashdot.org/story/25/12/02/1916207/michael-and-susan-dell-donate-625-billion-to-encourage-families-to-claim-trump-accounts,2025-12-02T19:19:00Z,"Its structure is also unusual. Essentially, it builds on the ""Trump Accounts"" program (PDF), where the U.S. Department of the Treasury will deposit $1,000 into investment accounts set up by Treasury … [+1155 chars]"
Yahoo Entertainment,,"Stock Market Bubble Worse Than 2008 Financial Crisis Is Brewing, Warns Analyst: 'People Just Don't Want To Listen Because...'",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_eee85fa9-b921-43a6-b48a-d62e81bc92fc,2025-11-25T00:35:01Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,,Prediction: This Stock Market Bubble Will Burst in 2026 and 3 Popular Stocks Will Crash (Hint: Not Artificial Intelligence),,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d3659336-f8ae-45cf-8bf0-39996867541c,2025-11-29T08:45:00Z,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow, S&P 500, Nasdaq futures slump as Oracle earnings reignite AI spending fears","Oracle's revenue miss is reviving the AI bubble debate, dampening spirits on Wall Street.",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-slump-as-oracle-earnings-reignite-ai-spending-fears-233526300.html,2025-12-10T23:35:26Z,"US stock futures sank on Thursday as Oracle (ORCL) earnings revived worries about the AI trade, taking the wind out of the Wall Street rally that followed the Federal Reserves latest rate cut.
Contr… [+2832 chars]"
Yahoo Entertainment,,"Stock market today: Dow, S&P 500, Nasdaq futures rise with Wall Street awaiting expected Fed rate cut",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3a358027-81bf-4726-a2cd-e1c27f600c44,2025-12-08T00:14:31Z,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]"
Yahoo Entertainment,Rian Howlett,"Stock market today: Dow jumps X post to record, S&P 500 climbs above 6,900 for first time","The Dow and S&P 500 notched new records on Thursday as US stocks mostly rose, with tech stocks under more pressure after Oracle (ORCL) earnings revived AI...",https://finance.yahoo.com/news/live/stock-market-today-dow-jumps-650-points-to-post-record-sp-500-climbs-above-6900-for-first-time-210051184.html,2025-12-11T21:00:51Z,"The Dow and S&amp;P 500 notched new records on Thursday as US stocks mostly rose, with tech stocks under more pressure after Oracle (ORCL) earnings revived AI overspending worries.
The Dow Jones Ind… [+15789 chars]"
Yahoo Entertainment,Karen Friar,"Stock market today: Dow, S&P 500, Nasdaq slip as jobs report beats estimates, unemployment rate rises","Investors reacted to the delayed release of the November jobs report, seen as pivotal to the path of interest rates next year.",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-slip-as-jobs-report-beats-estimates-unemployment-rate-rises-230828624.html,2025-12-15T23:08:28Z,"Investors were warned heading into the November jobs report that the numbers might be noisy following the 43-day government shutdown and the lagged effects of DOGE cuts.
""Everybody should assume the… [+1561 chars]"
Yahoo Entertainment,Karen Friar,"Stock market today: S&P 500, Nasdaq futures rise as Micron boosts tech after sell-off, CPI report looms",The wait is on for the latest reading on consumer inflation that could help set expectations for the path of interest rates.,https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-futures-rise-as-micron-boosts-tech-after-sell-off-cpi-report-looms-230752790.html,2025-12-17T23:07:52Z,"US stock futures leaned broadly higher on Thursday, eyeing a recovery from Wall Street's tech-fueled sell-off as investors waited for the latest reading on consumer inflation that could help set expe… [+2181 chars]"
